path,verdict,seconds,restarts,deleted
benchmarks/satlib/uf100-430/uf100-0308.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0309.cnf,SAT,0.002,4,0
benchmarks/satlib/uf100-430/uf100-031.cnf,SAT,0.002,3,0
benchmarks/satlib/uf100-430/uf100-0310.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0311.cnf,SAT,0.002,5,0
benchmarks/satlib/uf100-430/uf100-0312.cnf,SAT,0.002,5,0
benchmarks/satlib/uf100-430/uf100-0313.cnf,SAT,0.002,3,0
benchmarks/satlib/uf100-430/uf100-0314.cnf,SAT,0.001,1,0
benchmarks/satlib/uf100-430/uf100-0315.cnf,SAT,0.001,3,0
benchmarks/satlib/uf100-430/uf100-0316.cnf,SAT,0.003,6,0
benchmarks/satlib/uf100-430/uf100-0317.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0318.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0319.cnf,SAT,0.002,4,0
benchmarks/satlib/uf100-430/uf100-032.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0320.cnf,SAT,0.001,3,0
benchmarks/satlib/uf100-430/uf100-0321.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0322.cnf,SAT,0.002,2,0
benchmarks/satlib/uf100-430/uf100-0323.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0324.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0325.cnf,SAT,0.001,1,0
benchmarks/satlib/uf100-430/uf100-0326.cnf,SAT,0.003,6,0
benchmarks/satlib/uf100-430/uf100-0327.cnf,SAT,0.001,1,0
benchmarks/satlib/uf100-430/uf100-0328.cnf,SAT,0.000,1,0
benchmarks/satlib/uf100-430/uf100-0329.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-033.cnf,SAT,0.001,3,0
benchmarks/satlib/uf100-430/uf100-0330.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0331.cnf,SAT,0.003,6,0
benchmarks/satlib/uf100-430/uf100-0332.cnf,SAT,0.000,1,0
benchmarks/satlib/uf100-430/uf100-0333.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0334.cnf,SAT,0.000,1,0
benchmarks/satlib/uf100-430/uf100-0335.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0336.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0337.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0338.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0339.cnf,SAT,0.004,6,0
benchmarks/satlib/uf100-430/uf100-034.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0340.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0341.cnf,SAT,0.000,1,0
benchmarks/satlib/uf100-430/uf100-0342.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0343.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0344.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0345.cnf,SAT,0.000,1,0
benchmarks/satlib/uf100-430/uf100-0346.cnf,SAT,0.002,5,0
benchmarks/satlib/uf100-430/uf100-0347.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0348.cnf,SAT,0.002,5,0
benchmarks/satlib/uf100-430/uf100-0349.cnf,SAT,0.002,4,0
benchmarks/satlib/uf100-430/uf100-035.cnf,SAT,0.000,1,0
benchmarks/satlib/uf100-430/uf100-0350.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0351.cnf,SAT,0.001,1,0
benchmarks/satlib/uf100-430/uf100-0352.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0353.cnf,SAT,0.000,1,0
benchmarks/satlib/uf100-430/uf100-0354.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0355.cnf,SAT,0.001,4,0
benchmarks/satlib/uf100-430/uf100-0356.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0357.cnf,SAT,0.003,5,0
benchmarks/satlib/uf100-430/uf100-0358.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0359.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-036.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0360.cnf,SAT,0.005,8,0
benchmarks/satlib/uf100-430/uf100-0361.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0362.cnf,SAT,0.000,1,0
benchmarks/satlib/uf100-430/uf100-0363.cnf,SAT,0.000,1,0
benchmarks/satlib/uf100-430/uf100-0364.cnf,SAT,0.001,4,0
benchmarks/satlib/uf100-430/uf100-0365.cnf,SAT,0.001,3,0
benchmarks/satlib/uf100-430/uf100-0366.cnf,SAT,0.002,3,0
benchmarks/satlib/uf100-430/uf100-0367.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0368.cnf,SAT,0.002,5,0
benchmarks/satlib/uf100-430/uf100-0369.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-037.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0370.cnf,SAT,0.002,4,0
benchmarks/satlib/uf100-430/uf100-0371.cnf,SAT,0.003,6,0
benchmarks/satlib/uf100-430/uf100-0372.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0373.cnf,SAT,0.002,4,0
benchmarks/satlib/uf100-430/uf100-0374.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0375.cnf,SAT,0.001,3,0
benchmarks/satlib/uf100-430/uf100-0376.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0377.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0378.cnf,SAT,0.002,5,0
benchmarks/satlib/uf100-430/uf100-0379.cnf,SAT,0.000,1,0
benchmarks/satlib/uf100-430/uf100-038.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0380.cnf,SAT,0.001,3,0
benchmarks/satlib/uf100-430/uf100-0381.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0382.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0383.cnf,SAT,0.002,4,0
benchmarks/satlib/uf100-430/uf100-0384.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0385.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0386.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0387.cnf,SAT,0.002,4,0
benchmarks/satlib/uf100-430/uf100-0388.cnf,SAT,0.003,5,0
benchmarks/satlib/uf100-430/uf100-0389.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-039.cnf,SAT,0.000,1,0
benchmarks/satlib/uf100-430/uf100-0390.cnf,SAT,0.002,5,0
benchmarks/satlib/uf100-430/uf100-0391.cnf,SAT,0.002,4,0
benchmarks/satlib/uf100-430/uf100-0392.cnf,SAT,0.000,1,0
benchmarks/satlib/uf100-430/uf100-0393.cnf,SAT,0.002,4,0
benchmarks/satlib/uf100-430/uf100-0394.cnf,SAT,0.001,3,0
benchmarks/satlib/uf100-430/uf100-0395.cnf,SAT,0.003,5,0
benchmarks/satlib/uf100-430/uf100-0396.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0397.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0398.cnf,SAT,0.002,5,0
benchmarks/satlib/uf100-430/uf100-0399.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-04.cnf,SAT,0.001,3,0
benchmarks/satlib/uf100-430/uf100-040.cnf,SAT,0.002,4,0
benchmarks/satlib/uf100-430/uf100-0400.cnf,SAT,0.001,1,0
benchmarks/satlib/uf100-430/uf100-0401.cnf,SAT,0.001,3,0
benchmarks/satlib/uf100-430/uf100-0402.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0403.cnf,SAT,0.000,1,0
benchmarks/satlib/uf100-430/uf100-0404.cnf,SAT,0.001,3,0
benchmarks/satlib/uf100-430/uf100-0405.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0406.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0407.cnf,SAT,0.003,5,0
benchmarks/satlib/uf100-430/uf100-0408.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0409.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-041.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0410.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0411.cnf,SAT,0.001,1,0
benchmarks/satlib/uf100-430/uf100-0412.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0413.cnf,SAT,0.000,1,0
benchmarks/satlib/uf100-430/uf100-0414.cnf,SAT,0.004,6,0
benchmarks/satlib/uf100-430/uf100-0415.cnf,SAT,0.001,3,0
benchmarks/satlib/uf100-430/uf100-0416.cnf,SAT,0.000,1,0
benchmarks/satlib/uf100-430/uf100-0417.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0418.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0419.cnf,SAT,0.001,2,0
